round:9, server:15, service:6, this-value:-497.6158397326169, time-cost:0.7346901893615723, server-best-service:1, server-best-value:-524.3434788785733
round:9, server:15, service:7, this-value:-497.6091961158161, time-cost:0.720240592956543, server-best-service:1, server-best-value:-524.3434788785733
round:9, server:15, service:8, this-value:-494.9568974222282, time-cost:0.7220346927642822, server-best-service:1, server-best-value:-524.3434788785733
round:9, server:15, service:9, this-value:-494.9568974222282, time-cost:0.7222702503204346, server-best-service:1, server-best-value:-524.3434788785733
round:9, server:15, service:10, this-value:NoSolution, time-cost:0.699317216873169, server-best-service:1, server-best-value:-524.3434788785733
round:10, server:15, service:1, this-value:-554.7203235554125, time-cost:0.732719898223877, server-best-service:1, server-best-value:-554.7203235554125
round:10, server:15, service:2, this-value:-525.3337420990676, time-cost:0.7245616912841797, server-best-service:1, server-best-value:-554.7203235554125
round:10, server:15, service:3, this-value:-525.3337420990676, time-cost:0.7206439971923828, server-best-service:1, server-best-value:-554.7203235554125
round:10, server:15, service:4, this-value:NoSolution, time-cost:0.6996958255767822, server-best-service:1, server-best-value:-554.7203235554125
round:10, server:15, service:5, this-value:NoSolution, time-cost:0.704453706741333, server-best-service:1, server-best-value:-554.7203235554125
round:10, server:15, service:6, this-value:-527.9926844094564, time-cost:0.7321300506591797, server-best-service:1, server-best-value:-554.7203235554125
round:10, server:15, service:7, this-value:-527.9860407926556, time-cost:0.7218141555786133, server-best-service:1, server-best-value:-554.7203235554125
round:10, server:15, service:8, this-value:-525.3337420990676, time-cost:0.7172915935516357, server-best-service:1, server-best-value:-554.7203235554125
round:10, server:15, service:9, this-value:NoSolution, time-cost:0.7016787528991699, server-best-service:1, server-best-value:-554.7203235554125
round:10, server:15, service:10, this-value:NoSolution, time-cost:0.6992940902709961, server-best-service:1, server-best-value:-554.7203235554125
round:11, server:15, service:2, this-value:-554.7203235554125, time-cost:0.7134239673614502, server-best-service:2, server-best-value:-554.7203235554125
round:11, server:15, service:3, this-value:NoSolution, time-cost:0.6963462829589844, server-best-service:2, server-best-value:-554.7203235554125
round:11, server:15, service:4, this-value:NoSolution, time-cost:0.7275056838989258, server-best-service:2, server-best-value:-554.7203235554125
round:11, server:15, service:5, this-value:NoSolution, time-cost:0.7012193202972412, server-best-service:2, server-best-value:-554.7203235554125
round:11, server:15, service:6, this-value:NoSolution, time-cost:0.7031970024108887, server-best-service:2, server-best-value:-554.7203235554125
round:11, server:15, service:7, this-value:NoSolution, time-cost:0.7009944915771484, server-best-service:2, server-best-value:-554.7203235554125
round:11, server:15, service:8, this-value:-554.7203235554125, time-cost:0.7232346534729004, server-best-service:2, server-best-value:-554.7203235554125
round:11, server:15, service:9, this-value:NoSolution, time-cost:0.704254150390625, server-best-service:2, server-best-value:-554.7203235554125
round:11, server:15, service:10, this-value:NoSolution, time-cost:0.7061862945556641, server-best-service:2, server-best-value:-554.7203235554125
round:12, server:15, service:2, this-value:NoSolution, time-cost:1.2394092082977295, server-best-service:0, server-best-value:10000000000.0
round:12, server:15, service:3, this-value:NoSolution, time-cost:0.739647388458252, server-best-service:0, server-best-value:10000000000.0
round:12, server:15, service:4, this-value:NoSolution, time-cost:0.7472364902496338, server-best-service:0, server-best-value:10000000000.0
round:12, server:15, service:5, this-value:NoSolution, time-cost:0.7163918018341064, server-best-service:0, server-best-value:10000000000.0
round:12, server:15, service:6, this-value:NoSolution, time-cost:0.7088513374328613, server-best-service:0, server-best-value:10000000000.0
round:12, server:15, service:7, this-value:NoSolution, time-cost:0.7269935607910156, server-best-service:0, server-best-value:10000000000.0
round:12, server:15, service:8, this-value:NoSolution, time-cost:0.7091014385223389, server-best-service:0, server-best-value:10000000000.0
round:12, server:15, service:9, this-value:NoSolution, time-cost:0.7034139633178711, server-best-service:0, server-best-value:10000000000.0
round:12, server:15, service:10, this-value:NoSolution, time-cost:0.696803092956543, server-best-service:0, server-best-value:10000000000.0
