initial time: 0.009999752044677734
round:6, iter:14, this-value:-2025.682131533173, time-cost:0.020028352737426758, round-best-server:12, round-best-value:-2025.6821315331736
round:6, iter:15, this-value:-2025.6821315331733, time-cost:0.015001058578491211, round-best-server:12, round-best-value:-2025.6821315331736
round:6, iter:16, this-value:-2025.6821315331733, time-cost:0.014969348907470703, round-best-server:12, round-best-value:-2025.6821315331736
round:6, iter:17, this-value:-2025.6821315331736, time-cost:0.014999151229858398, round-best-server:12, round-best-value:-2025.6821315331736
round:6, iter:18, this-value:-2025.6821315331733, time-cost:0.01600503921508789, round-best-server:12, round-best-value:-2025.6821315331736
round:6, iter:19, this-value:-2025.682131533173, time-cost:0.015025854110717773, round-best-server:12, round-best-value:-2025.6821315331736
round:6, iter:20, this-value:-2025.6821315331733, time-cost:0.014999866485595703, round-best-server:12, round-best-value:-2025.6821315331736
round:6, iter:21, this-value:-2025.682131533173, time-cost:0.015000343322753906, round-best-server:12, round-best-value:-2025.6821315331736
round:6, iter:22, this-value:-2025.6821315331736, time-cost:0.014000177383422852, round-best-server:12, round-best-value:-2025.6821315331736
round:6, iter:23, this-value:-2025.6821315331733, time-cost:0.015031576156616211, round-best-server:12, round-best-value:-2025.6821315331736
round:6, iter:24, this-value:-2025.682131533173, time-cost:0.013967514038085938, round-best-server:12, round-best-value:-2025.6821315331736
round:6, iter:25, this-value:-2025.6821315331733, time-cost:0.013966083526611328, round-best-server:12, round-best-value:-2025.6821315331736
round:7, iter:1, this-value:-2025.6821315331733, time-cost:0.013968706130981445, round-best-server:1, round-best-value:-2025.6821315331733
round:7, iter:3, this-value:-2025.6821315331733, time-cost:0.013998746871948242, round-best-server:1, round-best-value:-2025.6821315331733
round:7, iter:4, this-value:-2025.6821315331733, time-cost:0.013998985290527344, round-best-server:1, round-best-value:-2025.6821315331733
round:7, iter:5, this-value:-2025.6821315331733, time-cost:0.014968156814575195, round-best-server:1, round-best-value:-2025.6821315331733
